"UID","MODELID","SOLTYPE","SOLNUM","KVAR","VARNUM","VARNAME"
"1","1","1","1","1","46","RDDEND1"
"2","2","1","2","1","46","RDDEND1"
"3","3","1","3","1","46","RDDEND1"
"4","4","1","4","1","46","RDDEND1"
"5","5","1","5","1","46","RDDEND1"
"6","6","1","6","1","46","RDDEND1"
"7","7","1","7","1","46","RDDEND1"
"8","8","1","8","1","46","RDDEND1"
"9","9","1","9","1","46","RDDEND1"
"10","10","1","10","1","46","RDDEND1"
"11","11","2","1","1","46","RDDEND1"
"12","11","2","1","2","128","SPDIASTR2"
"13","12","2","2","1","46","RDDEND1"
"14","12","2","2","2","128","SPDIASTR2"
"15","13","2","3","1","46","RDDEND1"
"16","13","2","3","2","128","SPDIASTR2"
"17","14","2","4","1","46","RDDEND1"
"18","14","2","4","2","128","SPDIASTR2"
"19","15","2","5","1","46","RDDEND1"
"20","15","2","5","2","128","SPDIASTR2"
"21","16","2","6","1","46","RDDEND1"
"22","16","2","6","2","128","SPDIASTR2"
"23","17","2","7","1","46","RDDEND1"
"24","17","2","7","2","128","SPDIASTR2"
"25","18","2","8","1","46","RDDEND1"
"26","18","2","8","2","128","SPDIASTR2"
"27","19","2","9","1","46","RDDEND1"
"28","19","2","9","2","128","SPDIASTR2"
"29","20","2","10","1","46","RDDEND1"
"30","20","2","10","2","128","SPDIASTR2"
"31","21","3","1","1","6","BLDADEND5"
"32","21","3","1","2","35","PCLDEND0"
"33","21","3","1","3","128","SPDIASTR2"
"34","22","3","2","1","6","BLDADEND5"
"35","22","3","2","2","35","PCLDEND0"
"36","22","3","2","3","128","SPDIASTR2"
"37","23","3","3","1","6","BLDADEND5"
"38","23","3","3","2","35","PCLDEND0"
"39","23","3","3","3","128","SPDIASTR2"
"40","24","3","4","1","6","BLDADEND5"
"41","24","3","4","2","35","PCLDEND0"
"42","24","3","4","3","128","SPDIASTR2"
"43","25","3","5","1","6","BLDADEND5"
"44","25","3","5","2","35","PCLDEND0"
"45","25","3","5","3","128","SPDIASTR2"
"46","26","3","6","1","6","BLDADEND5"
"47","26","3","6","2","35","PCLDEND0"
"48","26","3","6","3","128","SPDIASTR2"
"49","27","3","7","1","6","BLDADEND5"
"50","27","3","7","2","35","PCLDEND0"
"51","27","3","7","3","128","SPDIASTR2"
"52","28","3","8","1","6","BLDADEND5"
"53","28","3","8","2","35","PCLDEND0"
"54","28","3","8","3","128","SPDIASTR2"
"55","29","3","9","1","6","BLDADEND5"
"56","29","3","9","2","35","PCLDEND0"
"57","29","3","9","3","128","SPDIASTR2"
"58","30","3","10","1","6","BLDADEND5"
"59","30","3","10","2","35","PCLDEND0"
"60","30","3","10","3","128","SPDIASTR2"
"61","31","4","1","1","6","BLDADEND5"
"62","31","4","1","2","35","PCLDEND0"
"63","31","4","1","3","64","SAGESTR3"
"64","31","4","1","4","128","SPDIASTR2"
"65","32","4","2","1","6","BLDADEND5"
"66","32","4","2","2","35","PCLDEND0"
"67","32","4","2","3","64","SAGESTR3"
"68","32","4","2","4","128","SPDIASTR2"
"69","33","4","3","1","46","RDDEND1"
"70","33","4","3","2","87","SDIASTR2"
"71","33","4","3","3","138","T5_50MN"
"72","33","4","3","4","139","T5_50SD"
"73","34","4","4","1","77","SDENSAN"
"74","34","4","4","2","78","SDENSAND10"
"75","34","4","4","3","123","SPAGESTR3"
"76","34","4","4","4","128","SPDIASTR2"
"77","35","4","5","1","6","BLDADEND5"
"78","35","4","5","2","35","PCLDEND0"
"79","35","4","5","3","64","SAGESTR3"
"80","35","4","5","4","128","SPDIASTR2"
"81","36","4","6","1","6","BLDADEND5"
"82","36","4","6","2","78","SDENSAND10"
"83","36","4","6","3","79","SDENSTR"
"84","36","4","6","4","123","SPAGESTR3"
"85","37","4","7","1","6","BLDADEND5"
"86","37","4","7","2","78","SDENSAND10"
"87","37","4","7","3","79","SDENSTR"
"88","37","4","7","4","123","SPAGESTR3"
"89","38","4","8","1","6","BLDADEND5"
"90","38","4","8","2","35","PCLDEND0"
"91","38","4","8","3","64","SAGESTR3"
"92","38","4","8","4","128","SPDIASTR2"
"93","39","4","9","1","77","SDENSAN"
"94","39","4","9","2","78","SDENSAND10"
"95","39","4","9","3","123","SPAGESTR3"
"96","39","4","9","4","128","SPDIASTR2"
"97","41","5","1","1","6","BLDADEND5"
"98","41","5","1","2","64","SAGESTR3"
"99","41","5","1","3","78","SDENSAND10"
"100","41","5","1","4","139","T5_50SD"
"101","41","5","1","5","140","T5_75MN"
"102","42","5","2","1","41","PCLDEND6"
"103","42","5","2","2","46","RDDEND1"
"104","42","5","2","3","54","SAGESAND0"
"105","42","5","2","4","79","SDENSTR"
"106","42","5","2","5","96","SDIASTRD8"
"107","43","5","3","1","35","PCLDEND0"
"108","43","5","3","2","46","RDDEND1"
"109","43","5","3","3","79","SDENSTR"
"110","43","5","3","4","92","SDIASTRD0"
"111","43","5","3","5","128","SPDIASTR2"
"112","44","5","4","1","1","BLDADEN"
"113","44","5","4","2","95","SDIASTRD7"
"114","44","5","4","3","128","SPDIASTR2"
"115","44","5","4","4","175","T10_850SD"
"116","44","5","4","5","189","T20_1300SD"
"117","45","5","5","1","1","BLDADEN"
