VARSET,OA,KHAT,MINPA,MAXPA,MINUA,MAXUA
1,0.626,0.251,0.607,0.658,0.510,0.740
2,0.626,0.257,0.579,0.783,0.360,0.898
3,0.657,0.313,0.647,0.667,0.640,0.673
4,0.697,0.393,0.685,0.711,0.653,0.740
5,0.323,-0.355,0.304,0.340,0.286,0.360
6,0.667,0.332,0.649,0.690,0.592,0.740
7,0.667,0.333,0.660,0.674,0.633,0.700
8,0.646,0.291,0.615,0.706,0.490,0.800
9,0.707,0.414,0.700,0.714,0.700,0.714
10,0.697,0.395,0.673,0.727,0.640,0.755
11,0.697,0.394,0.694,0.700,0.694,0.700
12,0.697,0.394,0.692,0.702,0.673,0.720
13,0.636,0.272,0.625,0.651,0.571,0.700
14,0.657,0.313,0.654,0.660,0.633,0.680
15,0.667,0.332,0.649,0.690,0.592,0.740
16,0.707,0.413,0.678,0.750,0.612,0.800
17,0.697,0.394,0.686,0.708,0.680,0.714
18,0.677,0.354,0.667,0.688,0.660,0.694
19,0.677,0.353,0.667,0.689,0.633,0.720
20,0.667,0.332,0.644,0.700,0.571,0.760
21,0.667,0.334,0.654,0.681,0.640,0.694
22,0.636,0.273,0.633,0.640,0.633,0.640
23,0.697,0.394,0.694,0.700,0.694,0.700
24,0.747,0.495,0.740,0.755,0.740,0.755
25,0.707,0.414,0.706,0.708,0.694,0.720
26,0.747,0.495,0.722,0.778,0.700,0.796
27,0.687,0.373,0.667,0.714,0.612,0.760
28,0.727,0.454,0.725,0.729,0.714,0.740
29,0.778,0.556,0.765,0.792,0.760,0.796
30,0.717,0.434,0.714,0.720,0.714,0.720
31,0.717,0.435,0.706,0.729,0.700,0.735
32,0.747,0.495,0.745,0.750,0.735,0.760
33,0.727,0.455,0.712,0.745,0.700,0.755
34,0.535,0.071,0.529,0.542,0.520,0.551
35,0.758,0.515,0.741,0.778,0.714,0.800
36,0.697,0.394,0.692,0.702,0.673,0.720
37,0.717,0.434,0.712,0.723,0.694,0.740
38,0.707,0.414,0.706,0.708,0.694,0.720
39,0.707,0.414,0.698,0.717,0.673,0.740
40,0.727,0.453,0.695,0.775,0.633,0.820
41,0.747,0.495,0.745,0.750,0.735,0.760
42,0.758,0.515,0.745,0.771,0.740,0.776
43,0.768,0.535,0.755,0.783,0.735,0.800
44,0.758,0.515,0.755,0.760,0.755,0.760
45,0.717,0.434,0.696,0.744,0.653,0.780
46,0.768,0.535,0.755,0.783,0.735,0.800
47,0.737,0.474,0.731,0.745,0.714,0.760
48,0.727,0.454,0.717,0.739,0.694,0.760
49,0.717,0.435,0.706,0.729,0.700,0.735
50,0.717,0.434,0.712,0.723,0.694,0.740
51,0.737,0.475,0.717,0.761,0.700,0.776
52,0.525,0.051,0.520,0.531,0.520,0.531
53,0.737,0.476,0.702,0.786,0.660,0.816
54,0.747,0.495,0.722,0.778,0.700,0.796
55,0.424,-0.150,0.422,0.426,0.380,0.469
56,0.788,0.576,0.780,0.796,0.780,0.796
57,0.747,0.494,0.727,0.773,0.694,0.800
58,0.505,0.009,0.500,0.509,0.449,0.560
