"UID","MODELID","SOLTYPE","SOLNUM","KVAR","VARNUM","VARNAME"
"1","1","1","1","1","32","SSH7_25"
"2","2","1","2","1","32","SSH7_25"
"3","3","1","3","1","32","SSH7_25"
"4","4","1","4","1","32","SSH7_25"
"5","5","1","5","1","32","SSH7_25"
"6","6","1","6","1","32","SSH7_25"
"7","7","1","7","1","32","SSH7_25"
"8","8","1","8","1","32","SSH7_25"
"9","9","1","9","1","32","SSH7_25"
"10","10","1","10","1","32","SSH7_25"
"11","11","2","1","1","32","SSH7_25"
"12","11","2","1","2","93","SPDIASTRC"
"13","12","2","2","1","32","SSH7_25"
"14","12","2","2","2","93","SPDIASTRC"
"15","13","2","3","1","32","SSH7_25"
"16","13","2","3","2","93","SPDIASTRC"
"17","14","2","4","1","32","SSH7_25"
"18","14","2","4","2","93","SPDIASTRC"
"19","15","2","5","1","32","SSH7_25"
"20","15","2","5","2","93","SPDIASTRC"
"21","16","2","6","1","32","SSH7_25"
"22","16","2","6","2","93","SPDIASTRC"
"23","17","2","7","1","32","SSH7_25"
"24","17","2","7","2","93","SPDIASTRC"
"25","18","2","8","1","32","SSH7_25"
"26","18","2","8","2","93","SPDIASTRC"
"27","19","2","9","1","32","SSH7_25"
"28","19","2","9","2","93","SPDIASTRC"
"29","20","2","10","1","32","SSH7_25"
"30","20","2","10","2","93","SPDIASTRC"
"31","21","3","1","1","6","L039"
"32","21","3","1","2","32","SSH7_25"
"33","21","3","1","3","93","SPDIASTRC"
"34","22","3","2","1","6","L039"
"35","22","3","2","2","32","SSH7_25"
"36","22","3","2","3","93","SPDIASTRC"
"37","23","3","3","1","6","L039"
"38","23","3","3","2","32","SSH7_25"
"39","23","3","3","3","93","SPDIASTRC"
"40","24","3","4","1","6","L039"
"41","24","3","4","2","32","SSH7_25"
"42","24","3","4","3","93","SPDIASTRC"
"43","25","3","5","1","6","L039"
"44","25","3","5","2","32","SSH7_25"
"45","25","3","5","3","93","SPDIASTRC"
"46","26","3","6","1","6","L039"
"47","26","3","6","2","32","SSH7_25"
"48","26","3","6","3","93","SPDIASTRC"
"49","27","3","7","1","6","L039"
"50","27","3","7","2","32","SSH7_25"
"51","27","3","7","3","93","SPDIASTRC"
"52","28","3","8","1","6","L039"
"53","28","3","8","2","32","SSH7_25"
"54","28","3","8","3","93","SPDIASTRC"
"55","29","3","9","1","6","L039"
"56","29","3","9","2","32","SSH7_25"
"57","29","3","9","3","93","SPDIASTRC"
"58","30","3","10","1","6","L039"
"59","30","3","10","2","32","SSH7_25"
"60","30","3","10","3","93","SPDIASTRC"
"61","31","4","1","1","6","L039"
"62","31","4","1","2","32","SSH7_25"
"63","31","4","1","3","93","SPDIASTRC"
"64","31","4","1","4","123","RDDEN"
"65","32","4","2","1","6","L039"
"66","32","4","2","2","32","SSH7_25"
"67","32","4","2","3","93","SPDIASTRC"
"68","32","4","2","4","123","RDDEN"
"69","33","4","3","1","6","L039"
"70","33","4","3","2","32","SSH7_25"
"71","33","4","3","3","93","SPDIASTRC"
"72","33","4","3","4","179","OICP"
"73","34","4","4","1","6","L039"
"74","34","4","4","2","32","SSH7_25"
"75","34","4","4","3","93","SPDIASTRC"
"76","34","4","4","4","123","RDDEN"
"77","35","4","5","1","6","L039"
"78","35","4","5","2","32","SSH7_25"
"79","35","4","5","3","93","SPDIASTRC"
"80","35","4","5","4","123","RDDEN"
"81","36","4","6","1","6","L039"
"82","36","4","6","2","32","SSH7_25"
"83","36","4","6","3","93","SPDIASTRC"
"84","36","4","6","4","123","RDDEN"
"85","37","4","7","1","6","L039"
"86","37","4","7","2","32","SSH7_25"
"87","37","4","7","3","93","SPDIASTRC"
"88","37","4","7","4","123","RDDEN"
"89","38","4","8","1","6","L039"
"90","38","4","8","2","32","SSH7_25"
"91","38","4","8","3","93","SPDIASTRC"
"92","38","4","8","4","123","RDDEN"
"93","39","4","9","1","6","L039"
"94","39","4","9","2","32","SSH7_25"
"95","39","4","9","3","93","SPDIASTRC"
"96","39","4","9","4","123","RDDEN"
"97","40","4","10","1","6","L039"
"98","40","4","10","2","32","SSH7_25"
"99","40","4","10","3","93","SPDIASTRC"
"100","40","4","10","4","123","RDDEN"
"101","41","5","1","1","6","L039"
"102","41","5","1","2","32","SSH7_25"
"103","41","5","1","3","93","SPDIASTRC"
"104","41","5","1","4","123","RDDEN"
"105","41","5","1","5","178","RDP"
"106","42","5","2","1","6","L039"
"107","42","5","2","2","32","SSH7_25"
"108","42","5","2","3","93","SPDIASTRC"
"109","42","5","2","4","123","RDDEN"
"110","42","5","2","5","178","RDP"
"111","43","5","3","1","6","L039"
"112","43","5","3","2","32","SSH7_25"
"113","43","5","3","3","93","SPDIASTRC"
"114","43","5","3","4","123","RDDEN"
"115","43","5","3","5","178","RDP"
"116","44","5","4","1","6","L039"
"117","44","5","4","2","32","SSH7_25"
"118","44","5","4","3","93","SPDIASTRC"
"119","44","5","4","4","123","RDDEN"
"120","44","5","4","5","178","RDP"
"121","45","5","5","1","6","L039"
"122","45","5","5","2","32","SSH7_25"
"123","45","5","5","3","93","SPDIASTRC"
"124","45","5","5","4","123","RDDEN"
"125","45","5","5","5","178","RDP"
"126","46","5","6","1","6","L039"
"127","46","5","6","2","32","SSH7_25"
"128","46","5","6","3","93","SPDIASTRC"
"129","46","5","6","4","123","RDDEN"
"130","46","5","6","5","178","RDP"
"131","47","5","7","1","6","L039"
"132","47","5","7","2","25","SLOPSTR1"
"133","47","5","7","3","32","SSH7_25"
"134","47","5","7","4","93","SPDIASTRC"
"135","47","5","7","5","179","OICP"
"136","48","5","8","1","6","L039"
"137","48","5","8","2","32","SSH7_25"
"138","48","5","8","3","93","SPDIASTRC"
"139","48","5","8","4","109","SAGESAND9"
"140","48","5","8","5","179","OICP"
"141","49","5","9","1","6","L039"
"142","49","5","9","2","32","SSH7_25"
"143","49","5","9","3","93","SPDIASTRC"
"144","49","5","9","4","123","RDDEN"
"145","49","5","9","5","178","RDP"
"146","50","5","10","1","6","L039"
"147","50","5","10","2","32","SSH7_25"
"148","50","5","10","3","93","SPDIASTRC"
"149","50","5","10","4","123","RDDEN"
"150","50","5","10","5","178","RDP"
"151","51","6","1","1","6","L039"
"152","51","6","1","2","32","SSH7_25"
"153","51","6","1","3","93","SPDIASTRC"
"154","51","6","1","4","123","RDDEN"
"155","51","6","1","5","178","RDP"
"156","51","6","1","6","179","OICP"
"157","52","6","2","1","6","L039"
"158","52","6","2","2","26","BLDADEN"
"159","52","6","2","3","32","SSH7_25"
"160","52","6","2","4","93","SPDIASTRC"
"161","52","6","2","5","123","RDDEN"
"162","52","6","2","6","178","RDP"
"163","53","6","3","1","6","L039"
"164","53","6","3","2","32","SSH7_25"
"165","53","6","3","3","93","SPDIASTRC"
